userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,review_img,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
rms000,2020.12.14,1618241,1,0, 179cm, 76kg,XL,"['입을 때는 큰 느낌이였는데 입었을 때에는 적당한 거 같아요 따뜻하고 좋은데 주머니에 손 넣을 때 지퍼가 날카롭다고 해야하나 긁혀서 손 넣었다뺐다 할 때 아파요,,']",https://image.msscdn.net/data/estimate/1618241_0/gallery_5fd6de6fc2f02.jpg.view,2,2,1,1,0,0,0,0
토끼덧니,2020.11.01,1618241,0,1, 162cm, 55kg,M,['상세 사이즈 보니까 품이 커서 s랑 m중에 고민 했는데 총장이 65면 뭔가 애매 할 것같아서 m 으로 했는데 좀 큰가 싶은데 괜찮아요 특히 팔부분 길이가 넘 길어서 ㅋs로교환 할까 했는데 팔길이 일센치 밖에 차이안나서 그냥 많이 껴입으면서 입으려고요!! 나름 만족..! 해요'],https://image.msscdn.net/data/estimate/1618241_0/gallery_5f9e1c32912ac.jpg.view,1,2,2,2,0,0,0,0
금호동송곳니,2021.11.25,2122581,1,0, 168cm, 60kg,GLACIERGRAY/095,"['장점ㅡ가볍다', <br/>, '           남들이 많이 안사는 패딩이지만 무난하다', <br/>, '           로고가 앞뒤옆 크게 안써있다', <br/>, '단점ㅡ폴라폴리스가 없어서 발열기능이 없다', <br/>, '           안주머니 재질이 매끄럽지않다', <br/>, <br/>, '사이즈만봤을때 다른패딩 100사이즈가 여기 95 사이즈랑 동일하길래 95로 하니 무난하네요']",https://image.msscdn.net/data/estimate/2122581_0/gallery_619f1da35b1a7.jpg.view,2,1,1,0,1,0,0,0
뉴비_5ad48dfa2c00,2021.11.24,2122581,0,1, 176cm, 74kg,GLACIERGRAY/100,['정밀하게 따틋하고. 정말가볍고 따뜻해서 벋고싶지않아요'],https://image.msscdn.net/data/estimate/2122581_0/gallery_619e42a1d1b2b.jpg.view,2,2,1,0,2,0,0,0
kbw714,2022.02.02,2122581,1,0, 170cm, 70kg,GLACIERGRAY/100,"['오버핏은 아니고 기장이 애매하게 길어서', <br/>, '요즘 유행하는스타일은 아닌거같아여 근데 가볍고 편하긴해요']",,2,2,2,0,2,0,0,0
금호동송곳니,2021.11.25,2122581,1,0, 168cm, 60kg,GLACIERGRAY/095,['확실히 가볍습니다 주머니에 지퍼가 있다는게 좋아요'],,2,1,1,0,1,0,0,0
뉴비_bc79d31f1d71,2021.11.08,2122581,1,0, 170cm, 65kg,GLACIERGRAY/100,"['너무 입즈네요 따뜻하게 입을듯 합니다 ', <br/>, '젊은 사람은 아니지만 무난한 디자인이 너무 이쁘네요']",,2,3,1,0,1,0,0,0
kjh2552,2021.10.07,2122581,1,0, 177cm, 70kg,GLACIERGRAY/100,"['색상은 화면이랑 똑같아요. 사이즈도 적당하구요', <br/>, '할인 받아서 저렴하게 구매 했습니다']",,2,1,2,0,1,0,0,0
금호동송곳니,2021.11.25,2122581,1,0, 168cm, 60kg,GLACIERGRAY/095,"['사이즈와 색상고민을 많이 하고 골랐네요', <br/>, '사이즈는 좋은데 색상은 검은색도 괜찮지 않았을까 하는 후회가 약간있습니다']",https://image.msscdn.net/data/estimate/2122581_0/gallery_619f368a422cd.jpg.view,2,1,1,0,1,0,0,0
Kukukukh,2022.02.17,1827143,1,0, 173cm, 67kg,L,['가볍게 걸치기 좋아요 색감도 밝은컬러가 아니라 코디에도 부담스럽지 않습니다'],https://image.msscdn.net/data/estimate/1827143_0/gallery_620cba4102f4f.jpg.view,1,2,2,2,0,0,0,0
로또와토토,2021.12.17,1256125,0,1, 162cm, 48kg,F,"['색상 사진과 동일하며, 제가 원래 옷을 크게 입어서 사이즈도 만족합니다. 남성분들이 입으면 딱 맞게 입을 것 같습니다. 그리고 옷 소재가 뽀글이 느낌이라 귀여워서 좋습니다.']",https://image.msscdn.net/data/estimate/1256125_0/gallery_61bc2d5e0035b.jpg.view,1,2,2,0,2,0,0,0
로또와토토,2021.12.17,1256125,0,1, 162cm, 48kg,F,['너무 한겨울에 단독으로 입기에는 두꺼운편은 아니라서 안에다가 껴입어야합니다! 껴입어도 널널해서 좋고 시보리 부근이 매우 만족합니다.'],,1,2,2,0,2,0,0,0
로또와토토,2021.12.17,1256125,0,1, 162cm, 48kg,F,['옷 자체가 귀여워서 만족하는 제품입니다. 지금도 안에다가 좀 많이 껴입고 출퇴근용으로 입고 다닙니다.'],https://image.msscdn.net/data/estimate/1256125_0/gallery_61bc2db9e5c40.jpg.view,1,2,2,0,2,0,0,0
짬시기,2022.01.05,1693591,1,0, 177cm, 70kg,48(100),['클래식한맛이 있습니다 더블 좋아하신다면 강추'],https://image.msscdn.net/data/estimate/1693591_0/gallery_61d5557c71200.jpg.view,2,2,2,2,0,0,0,0
wnddjf,2021.02.02,1693591,1,0, 176cm, 74kg,50(105),['80가까이 살이 쪄서 고민 끝에 한사이즈 올렸는데 팔기장 빼면 전체적으로 넉넉하게 잘맞습니다. 살빼면 오버사이즈가 될듯요. 디자인 재질 고급스러워요 만족합니다. 굿'],https://image.msscdn.net/data/estimate/1693591_0/gallery_601817e7d3dfa.jpg.view,2,2,2,2,0,0,0,0
띠라리라,2022.03.01,1693591,1,0, 176cm, 66kg,46(95),['금장 블레이저 그중에서도 더블브레스티드가주는 안정감이 있음. 봄가을용이라 겨울에는 아예못입음.'],,2,1,1,3,0,0,0,0
짬시기,2022.01.05,1693591,1,0, 177cm, 70kg,48(100),"['클래식한맛이 있습니다', <br/>, '더블좋아하신다면 강추']",,2,2,2,2,0,0,0,0
홍태우,2021.10.06,1693591,1,0, 175cm, 70kg,48(100),"['믿고 사는 반츠입니닫 사이즈 좋아요', <br/>, '빨리 추워져야 입을텐데']",,2,2,1,2,0,0,0,0
팡혁,2021.03.22,1693591,1,0, 160cm, 75kg,48(100),['좀 거친감은 있지만 디테일이 너무 만족스러운 제품입니다'],,2,2,2,1,0,0,0,0
