userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
침착한다람쥐,2021.11.25,1749104,1,0, 183cm, 62kg,30,"['역시 믿고사는 무텐다드', <br/>, '제일 큰걸로 샀는데 핏너무맘에들어서 행복해요!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_619eec87d7077.jpg.view,1,2,2,2,2,0,0,0,0
움냠냠움,2021.11.24,1749104,1,0, 177cm, 70kg,31,['바지 핏도 좋고 통도 적당하고 너무 편한 것 같아요!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_619dda60e6828.jpg.view,1,2,2,2,2,0,0,0,0
craftmon,2021.11.24,1749104,1,0, 176cm, 67kg,30,"['믿고사는 무탠다드슬랙스', <br/>, '아주오버해서 좋네요']",https://image.msscdn.net/data/estimate/1749104_0/gallery_619d773f42f98.jpg.view,1,1,2,2,2,0,0,0,0
m하루m,2021.11.20,1749104,1,0, 167cm, 60kg,28,['와이드 슬랙스 입문용으로 구입했는데 만족스럽습니다.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6198b0637a9fe.jpg.view,1,1,1,2,3,0,0,0,0
감나물,2021.11.20,1749104,1,0, 175cm, 80kg,31,['너무 예쁘고 가격보다 더 고급진 맛이 있네요 코디가 편합니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61988612d9ee3.jpg.view,1,2,2,2,2,0,0,0,0
남수열,2021.11.19,1749104,1,0, 175cm, 73kg,31,"['두번째 구매입니다', <br/>, '무척 만족합니다', <br/>, '색감 핏감 원단재질 모두 좋네요', <br/>, '아주 추천합니다 굳']",https://image.msscdn.net/data/estimate/1749104_0/gallery_619758223fc1c.jpg.view,1,2,2,2,2,0,0,0,0
쥐누,2021.11.18,1749104,1,0, 181cm, 80kg,32,"['와이드팬츠 좋아하는데 통넓고 가격,재질까지 너무 만족하는 최고제품 색별로 다사고싶은마음입니다']",https://image.msscdn.net/data/estimate/1749104_0/gallery_619629a7bf796.jpg.view,1,2,1,2,2,0,0,0,0
언2,2021.11.17,1749104,1,0, 173cm, 75kg,32,['맨투맨이랑 가볍게 매치해서 입기도 하고 위에 깔끔한 옷이랑 입어도 괜찮아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61950db27ae46.jpg.view,1,2,2,1,2,0,0,0,0
오륨,2021.11.17,1749104,1,0, 175cm, 75kg,30,"['착용감도 너무 편하고 핏도 너무 잘 떨어져서 요즘 애용하는 바지입니다ㅎ', <br/>, '추천드려요!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_6193d73d3cbbb.jpg.view,1,2,2,2,2,0,0,0,0
마안두우마안두,2021.11.16,1749104,1,0, 163cm, 60kg,28,['슈퍼 와이드는 처음인데 기장만 자르고 나머지는 그대로 이쁘게잘입고있습니다 ㅎ'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61936f4c30da9.jpg.view,1,2,2,2,2,0,0,0,0
수르수숩,2021.11.15,1749104,1,0, 170cm, 60kg,27,['얇아요 너무 겨울엔 못 입을거같은데 핏 이뻐요 근데 길이는 좀 줄였ㅇㅓ요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_619268fe4bba1.jpg.view,1,1,2,1,3,0,0,0,0
따코피,2021.11.13,1749104,1,0, 172cm, 98kg,32,"['와이드핏 너무 맘에듭니다 하체가두꺼운편이라', <br/>, '한치수 크게샀는데 기장이조금 킨편이긴하네요!', <br/>, '전체적인부분은 맘에듭니다!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_618fc3acc6b91.jpg.view,1,1,2,2,2,0,0,0,0
안가르쳐줌메롱,2021.11.12,1749104,1,0, 170cm, 65kg,28,['예쁜색감입니다 좀길어서 수선하긴했는데 잘입고있어요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618df9801b60d.jpg.view,1,1,2,1,3,0,0,0,0
나의깜찍함,2021.11.12,1749104,1,0, 177cm, 60kg,29,['이가격에 이실루엣 무탠만 가능한 제품 만족하면서 입고있습니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618d493390a91.jpg.view,1,2,2,2,2,0,0,0,0
김지훈ㅋ,2021.11.10,1749104,1,0, 184cm, 80kg,34,['큰 신발들을 덮을수 있어서 코디할때 너무 좋습니다^-^'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618b3b2b6f321.jpg.view,1,2,2,2,2,0,0,0,0
Qhfbwofbqus,2021.11.09,1749104,1,0, 180cm, 80kg,42,['허벅지가 넉넉해서 마음에 드네요 여름엔 좀 덥지만 좋아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618a215509636.jpg.view,1,1,2,1,2,0,0,0,0
drugboy,2021.11.09,1749104,1,0, 171cm, 59kg,27,['역시 핏이나 소재 마감처리가 무탠다드 슬랙스답네요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618a0531678f1.jpg.view,1,2,2,2,2,0,0,0,0
멤버_87a1c580caea,2021.11.08,1749104,1,0, 175cm, 77kg,30,['생각보다 더 와이드 하긴한데 스타일리쉬하고 좋네요ㅎ'],https://image.msscdn.net/data/estimate/1749104_0/gallery_618815576f919.jpg.view,1,2,2,1,2,0,0,0,0
탈모성님,2021.11.05,1749104,1,0, 186cm, 85kg,32,"['제가 바라던 색감, 광택정도입니다. 또 살 것 같아요']",https://image.msscdn.net/data/estimate/1749104_0/gallery_6184809edc365.jpg.view,1,2,2,2,2,0,0,0,0
이재뚱,2021.11.04,1749104,1,0, 175cm, 72kg,28,['바지 진짜 펑퍼짐하고 완전 편해요 슈퍼와이드에여 말 그대로 다른 색 또 사야겟아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6183b38ee49b7.jpg.view,1,2,2,2,2,0,0,0,0
후꾸꽈,2021.11.03,1749104,1,0, 174cm, 71kg,31,['너무예뻐요ㅠㅠ 고민은 배송만 늦출뿐.. 기장 수선하니 완전 이쁩니다!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61828ee948253.jpg.view,1,2,2,2,2,0,0,0,0
심권,2021.11.03,1749104,1,0, 174cm, 60kg,29,"['확실히 예전 무탠다드 와이드 슬랙스랑은 다른 핏 입니다 !', <br/>, '많이 와이드해서 좋았어요']",https://image.msscdn.net/data/estimate/1749104_0/gallery_618159f3c376f.jpg.view,1,2,2,2,2,0,0,0,0
멋진아빠7,2021.11.02,1749104,1,0, 175cm, 73kg,30,"['컨버스에 입으면 참 라인이 예쁘게 떨어집니다.', <br/>, '너무너무 예쁘고 간지가 좔좔입니다. 꼭 사세요.', <br/>, '색깔별로 사세요.']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61812fdd09356.jpg.view,1,1,1,1,3,0,0,0,0
yyjjoo,2021.11.02,1749104,1,0, 189cm, 92kg,33,['진짜 강추! 핀턱 핏이 너무 이쁘고 자연스럽게 떨어지는 느낌!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61810424c0b5b.jpg.view,1,2,2,2,2,0,0,0,0
헬i,2021.11.02,1749104,0,1, 165cm, 73kg,31,['편하고 튼튼하네요 잠금부분이 좀 어색하긴한데 기장도 바지통도 원하던 대로라 마음에 들어요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6180abb5d1c7e.jpg.view,1,2,2,2,2,0,0,0,0
FMW,2021.11.02,1749104,1,0, 168cm, 59kg,28,['처음에는 진짜 크고 못 입겠다 싶었는데 입으면 입을수록 넘 이쁘네요 ㅎㅎ 기장은 수선했습니당'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6180040a224bc.jpg.view,1,2,2,2,2,0,0,0,0
지지이지이,2021.11.01,1749104,1,0, 170cm, 55kg,27,['제가 생각한 핏감이랑 느낌이 잘 나와서 좋았어요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617ebbb84bb6c.jpg.view,1,1,2,1,2,0,0,0,0
yccc,2021.10.31,1749104,1,0, 176cm, 70kg,29,['블랙 사서 너무 잘 입고 다녀서 회색도 구매했는데 역시 무탠다드 가성비 최고입니다ㅎㅎ'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617e0b513134f.jpg.view,1,2,2,2,2,0,0,0,0
nav232,2021.10.28,1749104,1,0, 177cm, 71kg,31,['핏이 너무 예뻐요 리얼와이드 블랙이랑 슈퍼와이드 그레이샀는데 블랙도 슈퍼와이드로 교환할까 생각들 정도로 이쁘네요 가격이 저렴한편이라 어쩔수없겠지만 소재가 조금 아쉬워요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617aa2f6e0a78.jpg.view,1,1,2,2,2,0,0,0,0
한결-,2021.10.27,1749104,1,0, 173cm, 69kg,30,['밑단도 아주 마음에 들게 넓고 딱 찾던 제 품입니다 !'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617915db85cfd.jpg.view,1,2,1,1,2,0,0,0,0
교땅할배,2021.10.27,1749104,1,0, 167cm, 68kg,28,['넘 정말 이쁜 와이드입니다 엄청 큰 와이드한 슬랙스 찾고 있었는데 딱 떨어지는 슈퍼 와이드한 핏! 너무 좋네요 잘 잊을게요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61790977e80c6.jpg.view,1,1,2,2,2,0,0,0,0
Joki2,2021.10.27,1749104,1,0, 168cm, 68kg,32,"['역쉬,, 무탠다드는 사랑입니다,,우하히하하히 슈퍼와이드!!!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_6178fbe6c2995.jpg.view,1,1,2,2,2,0,0,0,0
김다영킹왕짱,2021.10.26,1749104,1,0, 179cm, 76kg,31,['무탠 슬랙스는 한 10개 가까이 산거 같고 슈퍼와이드는 두장 째인데 너무 좋아여 ㅎㅎ'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617760fddeeaf.jpg.view,1,2,2,2,2,0,0,0,0
바나나우유조아연,2021.10.25,1749104,1,0, 188cm, 80kg,34,['기장이 짧아서 수선했습니다!! 그것말곤 두께감이나 허리는 좋아요!!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61758de5bd9c9.jpg.view,1,3,2,1,1,0,0,0,0
soyhoy,2021.10.24,1749104,1,0, 185cm, 80kg,32,['편한데 핏은 이뻐서 마음에 들어요! 컬러 다크그레이랑 고민했는데 생각했던 컬러! 어디에도 스타일링 가능해서 자주 입을 듯 해요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6174e754279d7.jpg.view,1,2,2,2,2,0,0,0,0
구휘혈,2021.10.23,1749104,1,0, 180cm, 72kg,30,['전에 샀던 리얼와이드보다 더 넓어서 좋아요 하지만 리얼와이드도 그만의 매력이 있다는거 미니멀하게 입기 좋습니당.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_617349f4de762.jpg.view,1,2,2,2,2,0,0,0,0
목플라입고싶다,2021.10.22,1749104,1,0, 174cm, 82kg,36,"['예쁩니다 마치 교복바지 같은 재질 ㅋㅋ', <br/>, '엄청 와이드해서 대충 입으면 옷 잘입는 것처럼 보임']",https://image.msscdn.net/data/estimate/1749104_0/gallery_6172c733439c1.jpg.view,1,1,2,2,2,0,0,0,0
루트방,2021.10.22,1749104,1,0, 178cm, 64kg,29,['편하고 너무 좋습니다. 질도 괜찮구요. 이정도 가격에 이거는 거저입니다 구매하세요.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61728a2b1e411.jpg.view,1,2,2,2,2,0,0,0,0
