userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
w1n,2022.02.28,2343911,1,0, 180cm, 78kg,후드-블랙/XL오트밀그레이/XL,['동생 선물했는데 완전 좋아하네요 가성비있고 핏좋습니다'],,0,2,2,2,2,0,0,0,0
전남간판,2022.02.23,2343911,1,0, 177cm, 80kg,후드-오트밀그레이/XL오트밀그레이/L,['조금 널널한 사이즈입니다. M 사이즈 입는데 L도 괜찮은거 같습니다.'],,0,2,2,2,2,0,0,0,0
곽고라니,2022.02.22,2343911,0,1, 157cm, 40kg,후드-네이비/S네이비/S,['편하고 디자인도 맘에 들어요 자주 입을 것 같아요'],,0,2,2,1,2,0,0,0,0
네바네바,2022.02.21,2343911,0,1, 165cm, 56kg,맨투맨-블랙/M블랙/S,"['아이가 맘에 들어합니다', <br/>, '예뻐요', <br/>, '배송도 만족스럽습니다']",,0,2,2,2,2,0,0,0,0
구너훈,2022.02.21,2343911,1,0, 180cm, 82kg,후드-오트밀그레이/L오트밀그레이/L,['아주 좋아요 마음에 들어요 다른색도 구매할가 고민중임돠'],,0,2,1,1,2,0,0,0,0
m__n_jj,2022.02.17,2343911,0,1, 175cm, 80kg,맨투맨-블랙/XL블랙/L,['선물로 구매했는데 사이즈는 적당히 괜찮고 세트로 입었을때 너무 이뻐요! 좀 일찍 사서 지금 입기엔 좀 춥지만 이제 곧 자주 입을것 같아요!!'],,0,2,2,2,2,0,0,0,0
m__n_jj,2022.02.17,2343911,0,1, 157cm, 50kg,후드-오트밀그레이/M오트밀그레이/S,['빠른배송에 사이즈는 적당히 제가 원하던 핏이에요!! 상의거 조금 박시하긴 하지만 제가 살짝 박시한걸 좋아해서 사이즈는 딱입니당!!'],,0,2,2,2,2,0,0,0,0
용풍이!,2022.03.13,2346608,1,0, 170cm, 61kg,M,['약간 가오리식으로 옷이 되어 있어서 팔 올릴 때 조심하세욤!!'],,0,2,3,1,3,0,0,0,0
곽삼칠,2022.03.16,2352974,0,1, 173cm, 60kg,HEATHERGRAY/SMALLHEATHERGRAY:LARGE,"['바지 L 상의 S', <br/>, <br/>, '바지가 진짜!!! 커요!!!! 지금 살 쪄서 65에 상체 마르고 골반 허벅지 엉덩이 큰 체형인데 진짜 커요 허리는 걍 좔좔 내려감 끈 안 당기면 골반에 걸쳐입는 수준', <br/>, '상의는 S해도 전혀 안 작음 헐렁하고 키 큰 사람 기준 소매도 길어서 좋음', <br/>, '가격이 싼만큼 도톰하진 않고 두께 얇아요 안쪽도 까끌한 쭈리면임 그래도 전 이 가격에 츄리닝 세트 샀는데 이 디자인 이 품질이면 쌉만족함']",https://image.msscdn.net/data/estimate/2352974_0/gallery_62302bca36bd9.jpg.view,1,1,2,2,3,0,0,0,0
뉴비르비,2022.03.14,2352974,0,1, 164cm, 55kg,BLACK/SMALLBLACK:MEDIUM,"['굳 아주 좋아요오', <br/>, '바지가 크고 얇아서 시원합니다']",https://image.msscdn.net/data/estimate/2352974_0/gallery_622c714a0cd2e.jpg.view,1,1,3,1,3,0,0,0,0
